Model,Precision,Recall,F1,PR-AUC
Logistic Regression,0.9839140869706707,0.615054945054945,0.7558311922018677,0.9551137603623111
Multinomial Naive Bayes,0.9927929892325743,0.8007692307692308,0.8862647978226607,0.966180283689028
Linear SVM,0.982129287696984,0.8506959706959707,0.9114971527439065,0.9695455643767807
