threshold,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives
0.1,0.6774193548387096,0.9618320610687023,0.7949526813880127,843,60,5,126
0.15000000000000002,0.8266666666666667,0.9465648854961832,0.8825622775800712,877,26,7,124
0.20000000000000004,0.8541666666666666,0.9389312977099237,0.8945454545454545,882,21,8,123
0.25000000000000006,0.8714285714285714,0.9312977099236641,0.9003690036900369,885,18,9,122
0.30000000000000004,0.8905109489051095,0.9312977099236641,0.9104477611940298,888,15,9,122
0.3500000000000001,0.9236641221374046,0.9236641221374046,0.9236641221374046,893,10,10,121
0.40000000000000013,0.9523809523809523,0.916030534351145,0.933852140077821,897,6,11,120
0.45000000000000007,0.952,0.9083969465648855,0.9296875,897,6,12,119
0.5000000000000001,0.9590163934426229,0.8931297709923665,0.924901185770751,898,5,14,117
0.5500000000000002,0.9661016949152542,0.8702290076335878,0.9156626506024096,899,4,17,114
0.6000000000000002,0.9661016949152542,0.8702290076335878,0.9156626506024096,899,4,17,114
0.6500000000000001,0.9741379310344828,0.8625954198473282,0.9149797570850202,900,3,18,113
0.7000000000000002,0.9911504424778761,0.8549618320610687,0.9180327868852459,902,1,19,112
0.7500000000000002,0.9911504424778761,0.8549618320610687,0.9180327868852459,902,1,19,112
0.8000000000000002,0.990990990990991,0.8396946564885496,0.9090909090909091,902,1,21,110
0.8500000000000002,0.9908256880733946,0.8244274809160306,0.9,902,1,23,108
0.9000000000000002,1.0,0.8015267175572519,0.8898305084745762,903,0,26,105
